process,sigma,run,time,spot,forward,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,demand
mr,5,1,1,78.75966516343387,78.23844435968536,78.75966516343387,7.45071229516849,28.26804816647917,44.612455704446134,44.89983601145253,59.54838357090182,59.250834088542206,59.9753692129529,98.58673489001619,102.1075101229192,1.0
mr,5,1,2,111.40587203038372,112.35553282049113,111.40587203038372,-2.0739645175677697,31.936311362028537,42.49000123634829,47.30125064706629,73.23962258419826,69.51441157658506,103.10023366517215,91.3827940390846,73.3194901016359,1.0
mr,5,1,3,118.37909820845853,117.44091930518688,118.37909820845853,9.715328071510388,25.036614338686064,64.63104646764191,40.21236284217693,61.37073178394448,73.27900625551129,78.6855811457189,66.90613996460574,87.97264712097572,1.0
mr,5,1,4,160.0305698154128,159.8469564343474,160.0305698154128,22.84544784612038,33.11607908544703,48.956599291476614,45.55706739923888,61.80362113754253,91.70700689939707,97.87673330541004,107.93280275004852,106.39563868285074,1.0
mr,5,1,5,165.83619253215898,166.67364420839192,165.83619253215898,-3.5123006208500396,39.196433478015464,38.97665926815387,53.77300493044852,55.63665345343373,56.02304342965692,85.48360554204326,81.11238150309637,68.14012532936661,1.0
mr,5,1,6,142.72325503737326,143.958889031148,142.72325503737326,-3.512054354237708,29.347439109258854,32.355676475196596,57.56988616645352,59.316652515347194,83.78051357867217,87.30805150646054,61.98152582412448,108.80949475920798,1.0
mr,5,1,7,132.44022377481218,130.8505485273465,132.44022377481218,23.688192232610874,32.41027033259365,27.14842943793942,40.77834675822375,63.69362122670471,67.00415618084287,89.11627648371527,82.29392710261358,99.60724402146637,1.0
mr,5,1,8,118.73551060695743,118.3383388565951,118.73551060695743,11.511520937293632,34.14086395026668,41.627709086937784,58.6960592010566,39.477979288120494,69.30750806486594,87.16333696027704,117.01367623141759,111.04979908834295,1.0
mr,5,1,9,83.68003228927978,83.28259789954387,83.68003228927978,-7.042115789024281,27.592677168684983,33.949194037725576,63.55637858804951,43.821774934731444,79.44747289033245,90.2835641578807,105.30399135804288,104.47828268129322,1.0
mr,5,1,10,50.154870847192,49.827194414387705,50.154870847192,8.13840065378947,31.3445548908625,28.621970323218605,54.13434903223701,68.91916912827259,54.28189169812782,101.2664404821189,83.72426158065853,127.28280859947688,1.0
mr,5,1,11,55.62102238320847,56.60298608136052,55.62102238320847,-6.951265392186934,30.07555440469077,34.82741692605979,68.76795812558066,62.050385257535304,75.3537364465767,83.14433871522353,83.71336132226828,102.50449005295815,1.0
mr,5,1,12,41.99414726326047,42.164215879350685,41.99414726326047,-6.985946303553853,30.58605659129299,31.347615971084842,42.26210800896427,57.79219996376785,72.33033091498278,91.34406012141619,84.21056907808712,91.41188917749494,1.0
mr,5,1,13,68.35686857047625,67.49496778298523,68.35686857047625,3.6294340734905117,25.3619412968672,53.49713308058052,37.55345296688583,60.22120719678472,76.89431769611409,78.56422889140437,127.38146370409514,102.44595006064567,1.0
mr,5,1,14,98.31791550485998,99.22033823841656,98.31791550485998,-28.699203669866968,30.147061045553656,47.053118055595604,32.212797510957216,64.17098046434005,74.04836101470946,103.04187544719156,96.87483814016797,110.86596058072776,1.0
mr,5,1,15,98.66875848330895,100.76266365597792,98.66875848330895,-25.873767487695492,32.987989747472696,39.93621886946706,64.96044311489183,53.52288383628766,104.37420195875252,69.17772316705168,97.74074964943925,100.97720140651408,1.0
mr,5,1,16,112.83038153035741,113.99531602300567,112.83038153035741,-8.43431293861459,38.70686164677025,51.83955311112021,56.54365656354058,50.66034329517225,61.07164022048158,108.81504692657305,108.54510217257317,100.81183382407765,1.0
