process,sigma,run,time,spot,forward,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,demand
rw,5,1,1,200.0,200.37290862953884,200.0,7.45071229516849,29.88892118404566,38.007711683548976,60.375399442578995,64.78963337222486,55.94202926547105,85.63288634422875,89.15542958017468,80.6331109027273,1.5
rw,5,1,2,211.21037745860238,209.81261576839512,211.21037745860238,-2.0739645175677697,28.26804816647917,44.612455704446134,44.89983601145253,59.54838357090182,59.250834088542206,59.9753692129529,98.58673489001619,102.1075101229192,1.4330127018922194
rw,5,1,3,213.09157267624985,214.90803627538372,213.09157267624985,9.715328071510388,31.936311362028537,42.49000123634829,47.30125064706629,73.23962258419826,69.51441157658506,103.10023366517215,91.3827940390846,73.3194901016359,1.25
rw,5,1,4,218.25996347378654,216.53020799956116,218.25996347378654,22.84544784612038,25.036614338686064,64.63104646764191,40.21236284217693,61.37073178394448,73.27900625551129,78.6855811457189,66.90613996460574,87.97264712097572,1.0
rw,5,1,5,248.11938287458742,247.83469952408748,248.11938287458742,-3.5123006208500396,33.11607908544703,48.956599291476614,45.55706739923888,61.80362113754253,91.70700689939707,97.87673330541004,107.93280275004852,106.39563868285074,0.7500000000000001
rw,5,1,6,237.59782693977598,238.79766574095586,237.59782693977598,-3.512054354237708,39.196433478015464,38.97665926815387,53.77300493044852,55.63665345343373,56.02304342965692,85.48360554204326,81.11238150309637,68.14012532936661,0.5669872981077808
rw,5,1,7,237.02005805453962,239.07207151837184,237.02005805453962,23.688192232610874,29.347439109258854,32.355676475196596,57.56988616645352,59.316652515347194,83.78051357867217,87.30805150646054,61.98152582412448,108.80949475920798,0.5
rw,5,1,8,271.66052841620035,268.39979685423197,271.66052841620035,11.511520937293632,32.41027033259365,27.14842943793942,40.77834675822375,63.69362122670471,67.00415618084287,89.11627648371527,82.29392710261358,99.60724402146637,0.5669872981077807
rw,5,1,9,278.21936772784056,277.28872050444204,278.21936772784056,-7.042115789024281,34.14086395026668,41.627709086937784,58.6960592010566,39.477979288120494,69.30750806486594,87.16333696027704,117.01367623141759,111.04979908834295,0.7499999999999998
rw,5,1,10,268.3457632908024,267.0712676703536,268.3457632908024,8.13840065378947,27.592677168684983,33.949194037725576,63.55637858804951,43.821774934731444,79.44747289033245,90.2835641578807,105.30399135804288,104.47828268129322,0.9999999999999999
